"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Language spoken most often at home","          Rundi (Kirundi)",,       0,,       0,,       0,,    2110,,     990,,    1115,
"Language spoken most often at home","          Kinyarwanda (Rwanda)",,       0,,       0,,       0,,    1530,,     670,,     865,
"Language spoken most often at home","          Shona",,       0,,       0,,       0,,    1035,,     475,,     560,
"Language spoken most often at home","          Swahili",,       0,,       5,,       0,,    5370,,    2500,,    2870,
"Language spoken most often at home","          Wolof",,       0,,       0,,       0,,    1380,,     745,,     635,
"Language spoken most often at home","          Yoruba",,       5,,       5,,       0,,    2615,,    1275,,    1340,
"Language spoken most often at home","          Niger-Congo languages; n.i.e.",,       0,,       0,,       0,,    4010,,    1850,,    2160,
"Language spoken most often at home","        Nilo-Saharan languages",,       5,,       5,,       5,,    2650,,    1305,,    1350,
"Language spoken most often at home","          Dinka",,       0,,       0,,       0,,    1130,,     580,,     550,
"Language spoken most often at home","          Nilo-Saharan languages; n.i.e.",,       5,,       0,,       0,,    1525,,     730,,     800,
"Language spoken most often at home","        Sign languages",,      10,,      10,,       0,,   10445,,    5870,,    4570,
"Language spoken most often at home","          American Sign Language",,       0,,       0,,       0,,    3015,,    1560,,    1460,
"Language spoken most often at home","          Quebec Sign Language",,       0,,       0,,       0,,     730,,     375,,     355,
"Language spoken most often at home","          Sign languages; n.i.e",,       5,,       5,,       0,,    6690,,    3935,,    2755,
"Language spoken most often at home","        Sino-Tibetan languages",,     920,,     435,,     485,,  924720,,  433530,,  491190,
"Language spoken most often at home","          Chinese languages",,     910,,     430,,     480,,  913365,,  427860,,  485505,
"Language spoken most often at home","            Cantonese",,     305,,     135,,     165,,  400215,,  184340,,  215885,
"Language spoken most often at home","            Hakka",,       5,,       0,,       5,,    4080,,    1820,,    2265,
"Language spoken most often at home","            Mandarin",,     540,,     255,,     280,,  462890,,  220075,,  242815,
"Language spoken most often at home","            Min Dong",,       0,,       0,,       0,,     345,,     150,,     195,
"Language spoken most often at home","            Min Nan (Chaochow; Teochow; Fukien; Taiwanese)",,      45,,      20,,      20,,   13965,,    6345,,    7625,
"Language spoken most often at home","            Wu (Shanghainese)",,       0,,       0,,       0,,    7650,,    3580,,    4075,
"Language spoken most often at home","            Chinese; n.o.s.",,      20,,      10,,      10,,   23935,,   11440,,   12500,
"Language spoken most often at home","            Chinese languages; n.i.e.",,       0,,       0,,       0,,     280,,     130,,     150,
"Language spoken most often at home","          Tibeto-Burman languages",,       5,,       0,,       5,,   11350,,    5670,,    5680,
"Language spoken most often at home","            Burmese",,       5,,       5,,       5,,    2245,,    1115,,    1125,
"Language spoken most often at home","            Karenic languages",,       0,,       0,,       0,,    3865,,    1935,,    1930,
"Language spoken most often at home","            Tibetan",,       0,,       0,,       0,,    4590,,    2305,,    2280,
"Language spoken most often at home","            Tibeto-Burman languages; n.i.e.",,       0,,       0,,       0,,     655,,     305,,     345,
"Language spoken most often at home","        Tai-Kadai languages",,       5,,       5,,       0,,    9565,,    4455,,    5110,
"Language spoken most often at home","          Lao",,       0,,       0,,       0,,    6175,,    2995,,    3180,
"Language spoken most often at home","          Thai",,       5,,       0,,       0,,    3360,,    1450,,    1915,
"Language spoken most often at home","          Tai-Kadai languages; n.i.e",,       0,,       0,,       0,,      30,,      15,,      15,
"Language spoken most often at home","        Turkic languages",,     260,,     125,,     130,,   22250,,   11205,,   11045,
"Language spoken most often at home","          Azerbaijani",,      90,,      40,,      50,,    1245,,     640,,     610,
"Language spoken most often at home","          Turkish",,      95,,      45,,      50,,   18955,,    9525,,    9430,
"Language spoken most often at home","          Uyghur",,       0,,       0,,       0,,     610,,     315,,     290,
"Language spoken most often at home","          Uzbek",,      75,,      40,,      30,,     990,,     505,,     490,
"Language spoken most often at home","          Turkic languages; n.i.e.",,       5,,       0,,       5,,     455,,     230,,     225,
"Language spoken most often at home","        Uralic languages",,     150,,      75,,      80,,   23245,,   10715,,   12535,
"Language spoken most often at home","          Estonian",,       0,,       0,,       0,,     975,,     365,,     610,
"Language spoken most often at home","          Finnish",,       5,,       0,,       0,,    2790,,    1220,,    1565,
"Language spoken most often at home","          Hungarian",,     145,,      70,,      75,,   19485,,    9125,,   10355,
"Language spoken most often at home","          Uralic languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       0,
"Language spoken most often at home","        Other languages; n.i.e.",,       0,,       0,,       0,,    1110,,     605,,     500,
"Language spoken most often at home","  Multiple responses",,    5595,,    2415,,    3180,, 1663390,,  802695,,  860690,
"Language spoken most often at home","    English and French",,      55,,      20,,      35,,  160185,,   77940,,   82235,
"Language spoken most often at home","    English and non-official language",,    5450,,    2360,,    3085,, 1284975,,  620375,,  664600,
"Language spoken most often at home","    French and non-official language",,      15,,       5,,       5,,  148915,,   70915,,   78000,
"Language spoken most often at home","    English; French and non-official language",,      75,,      30,,      45,,   69315,,   33465,,   35850,
"Other language spoken regularly at home","Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data",20,   40430,,   18820,,   21615,,34767255,,17101165,,17666080,
"Other language spoken regularly at home","  None",,   27655,,   13020,,   14630,,29615245,,14612175,,15003065,
"Other language spoken regularly at home","  English",,    6130,,    2860,,    3275,, 2109340,, 1045215,, 1064120,
"Other language spoken regularly at home","  French",,     215,,      80,,     130,,  731095,,  342245,,  388855,
"Other language spoken regularly at home","  Non-official language",,    6115,,    2730,,    3385,, 2151690,, 1023940,, 1127750,
"Other language spoken regularly at home","    Aboriginal",,       0,,       0,,       0,,   90740,,   42890,,   47850,
"Other language spoken regularly at home","    Non-Aboriginal",,    6115,,    2730,,    3385,, 2060945,,  981055,, 1079895,
"Other language spoken regularly at home","  English and French",,      30,,      10,,      20,,   47970,,   23785,,   24190,
"Other language spoken regularly at home","  English and non-official language",,     230,,     100,,     130,,   61075,,   30045,,   31030,
"Other language spoken regularly at home","  French and non-official language",,      55,,      20,,      35,,   48755,,   22690,,   26065,
"Other language spoken regularly at home","  English; French and non-official language",,       5,,       0,,       5,,    2080,,    1075,,    1010,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data",21,   35020,,   16030,,   18990,,28642980,,13990620,,14652355,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 100% data",,   33215,,   15115,,   18105,,27488530,,13444335,,14044190,
"Income of individuals in 2015","    Median total income in 2015 among recipients ($)",,   23861,,   25034,,   22941,,   34204,,   40782,,   28860,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 100% data",,   33215,,   15115,,   18100,,27499185,,13449010,,14050175,
"Income of individuals in 2015","    Median after-tax income in 2015 among recipients ($)",,   22768,,   23752,,   22083,,   30866,,   35933,,   26621,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 100% data",,   27970,,   13020,,   14950,,24583315,,12296595,,12286725,
"Income of individuals in 2015","    Median market income in 2015 among recipients ($)",,   24027,,   26486,,   22463,,   32762,,   39925,,   26613,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 100% data",,   25995,,   10925,,   15065,,19743240,, 8755815,,10987430,
"Income of individuals in 2015","    Median government transfers in 2015 among recipients ($)",,    2568,,    1318,,    4322,,    5453,,    4199,,    6136,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 100% data",,   23285,,   11195,,   12090,,20428685,,10547760,, 9880925,
"Income of individuals in 2015","    Median employment income in 2015 among recipients ($)",,   25181,,   27080,,   23944,,   33684,,   39836,,   28474,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data",22,   35235,,   16225,,   19015,,28643015,,13990430,,14652585,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 25% sample data",,   33410,,   15360,,   18055,,27489395,,13441555,,14047845,
"Income of individuals in 2015","    Average total income in 2015 among recipients ($)",,   35792,,   39886,,   32309,,   47487,,   56740,,   38632,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data",,   33420,,   15360,,   18065,,27500230,,13446230,,14053995,
"Income of individuals in 2015","    Average after-tax income in 2015 among recipients ($)",,   30622,,   33302,,   28344,,   38977,,   45404,,   32828,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 25% sample data",,   28110,,   13180,,   14925,,24584065,,12295015,,12289055,
"Income of individuals in 2015","    Average market income in 2015 among recipients ($)",,   36208,,   41469,,   31561,,   46885,,   56803,,   36962,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 25% sample data",,   26135,,   11075,,   15060,,19742130,, 8752070,,10990060,
"Income of individuals in 2015","    Average government transfers in 2015 among recipients ($)",,    6816,,    5944,,    7457,,    7738,,    7345,,    8050,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 25% sample data",,   23420,,   11370,,   12055,,20428670,,10542540,, 9886130,
"Income of individuals in 2015","    Average employment income in 2015 among recipients ($)",,   35890,,   40859,,   31205,,   46057,,   54369,,   37193,
"Income of individuals in 2015","Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data",23,   35235,,   16225,,   19010,,28643015,,13990430,,14652585,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data",24,    9495,,    5005,,    4500,, 9367045,, 5231015,, 4136035,
"Income of individuals in 2015","    Median employment income in 2015 for full-year full-time workers ($)",25,   44561,,   48310,,   41452,,   53431,,   59326,,   47420,
"Income of individuals in 2015","    Average employment income in 2015 for full-year full-time workers ($)",26,   57069,,   63412,,   50011,,   65997,,   74289,,   55510,
"Income of individuals in 2015","Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data",27,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,
"Income of individuals in 2015","  Market income (%)",28,     85.1,,     89.3,,     80.8,,     88.3,,     91.6,,     83.7,
"Income of individuals in 2015","    Employment income (%)",29,     70.0,,     74.5,,     65.4,,     72.0,,     75.2,,     67.7,
"Income of individuals in 2015","  Government transfers (%)",30,     14.9,,     10.7,,     19.2,,     11.7,,      8.4,,     16.3,
"Income of individuals in 2015","Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data",31,   35020,,   16035,,   18985,,28642980,,13990620,,14652360,
"Income of individuals in 2015","  Without total income",,    1805,,     925,,     885,, 1154450,,  546285,,  608165,
"Income of individuals in 2015","  With total income",,   33215,,   15115,,   18105,,27488530,,13444335,,14044195,
"Income of individuals in 2015","  Percentage with total income",,     94.8,,     94.3,,     95.4,,     96.0,,     96.1,,     95.8,
"Income of individuals in 2015","    Under $10;000 (including loss)",,    6390,,    3030,,    3360,, 3877620,, 1668960,, 2208655,
"Income of individuals in 2015","    $10;000 to $19;999",,    7890,,    3290,,    4600,, 4680380,, 1867600,, 2812785,
"Income of individuals in 2015","    $20;000 to $29;999",,    5405,,    2190,,    3220,, 3807840,, 1593335,, 2214505,
"Income of individuals in 2015","    $30;000 to $39;999",,    3670,,    1555,,    2115,, 3206175,, 1472670,, 1733510,
"Income of individuals in 2015","    $40;000 to $49;999",,    2870,,    1280,,    1590,, 2827045,, 1376565,, 1450480,
"Income of individuals in 2015","    $50;000 to $59;999",,    1810,,     855,,     960,, 2179775,, 1145685,, 1034090,
"Income of individuals in 2015","    $60;000 to $69;999",,    1300,,     685,,     620,, 1655070,,  938755,,  716310,
"Income of individuals in 2015","    $70;000 to $79;999",,     900,,     490,,     415,, 1271850,,  745830,,  526015,
"Income of individuals in 2015","    $80;000 to $89;999",,     700,,     390,,     305,,  966885,,  579290,,  387590,
"Income of individuals in 2015","    $90;000 to $99;999",,     615,,     310,,     305,,  749290,,  452240,,  297050,
"Income of individuals in 2015","    $100;000 and over",,    1660,,    1040,,     620,, 2266600,, 1603400,,  663195,
"Income of individuals in 2015","      $100;000 to $149;999",,    1110,,     665,,     440,, 1493570,, 1024210,,  469365,
"Income of individuals in 2015","      $150;000 and over",,     550,,     375,,     175,,  773025,,  579190,,  193830,
"Income of individuals in 2015","Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data",32,   35020,,   16035,,   18985,,28642980,,13990620,,14652360,
"Income of individuals in 2015","  Without after-tax income",,    1805,,     920,,     880,, 1143795,,  541620,,  602175,
"Income of individuals in 2015","  With after-tax income",,   33220,,   15110,,   18105,,27499185,,13449010,,14050175,
"Income of individuals in 2015","  Percentage with after-tax income",,     94.9,,     94.2,,     95.4,,     96.0,,     96.1,,     95.9,
"Income of individuals in 2015","    Under $10;000 (including loss)",,    6470,,    3065,,    3400,, 4004475,, 1706825,, 2297645,
"Income of individuals in 2015","    $10;000 to $19;999",,    8195,,    3450,,    4745,, 4905055,, 1972920,, 2932130,
"Income of individuals in 2015","    $20;000 to $29;999",,    6055,,    2450,,    3605,, 4489925,, 1926175,, 2563755,
"Income of individuals in 2015","    $30;000 to $39;999",,    4165,,    1830,,    2330,, 3924960,, 1870705,, 2054250,
"Income of individuals in 2015","    $40;000 to $49;999",,    2885,,    1305,,    1580,, 3144200,, 1619670,, 1524525,
"Income of individuals in 2015","    $50;000 to $59;999",,    1740,,     895,,     845,, 2209280,, 1245570,,  963705,
"Income of individuals in 2015","    $60;000 to $69;999",,    1155,,     615,,     535,, 1540300,,  912230,,  628065,
"Income of individuals in 2015","    $70;000 to $79;999",,     845,,     460,,     385,, 1076180,,  654570,,  421610,
"Income of individuals in 2015","    $80;000 and over",,    1710,,    1045,,     670,, 2204820,, 1540335,,  664485,
"Income of individuals in 2015","      $80;000 to $89;999",,     580,,     310,,     265,,  688705,,  444550,,  244145,
"Income of individuals in 2015","      $90;000 to $99;999",,     335,,     205,,     135,,  420975,,  291090,,  129885,
"Income of individuals in 2015","      $100;000 and over",,     795,,     530,,     270,, 1095140,,  804690,,  290445,
"Income of individuals in 2015","Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data",33,   35020,,   16035,,   18985,,28642980,,13990625,,14652360,
"Income of individuals in 2015","  Without employment income",,   11735,,    4840,,    6895,, 8214295,, 3442860,, 4771430,
"Income of individuals in 2015","  With employment income",,   23285,,   11195,,   12090,,20428690,,10547760,, 9880925,
"Income of individuals in 2015","  Percentage with employment income",,     66.5,,     69.8,,     63.7,,     71.3,,     75.4,,     67.4,
"Income of individuals in 2015","    Under $5;000 (including loss)",,    3240,,    1490,,    1745,, 2778990,, 1357430,, 1421560,
"Income of individuals in 2015","    $5;000 to $9;999",,    2395,,    1125,,    1270,, 1602140,,  697025,,  905120,
"Income of individuals in 2015","    $10;000 to $19;999",,    4105,,    1905,,    2195,, 2736010,, 1212855,, 1523155,
"Income of individuals in 2015","    $20;000 to $29;999",,    3430,,    1460,,    1975,, 2293785,, 1022090,, 1271695,
"Income of individuals in 2015","    $30;000 to $39;999",,    2715,,    1180,,    1530,, 2149860,, 1001065,, 1148795,
"Income of individuals in 2015","    $40;000 to $49;999",,    2155,,    1005,,    1150,, 1928565,,  946625,,  981940,
"Income of individuals in 2015","    $50;000 to $59;999",,    1305,,     690,,     615,, 1554100,,  839045,,  715055,
"Income of individuals in 2015","    $60;000 to $69;999",,     935,,     530,,     405,, 1220310,,  708270,,  512040,
"Income of individuals in 2015","    $70;000 to $79;999",,     690,,     400,,     285,,  992170,,  591945,,  400225,
"Income of individuals in 2015","    $80;000 and over",,    2325,,    1405,,     920,, 3172770,, 2171415,, 1001355,
"Income of individuals in 2015","      $80;000 to $89;999",,     570,,     310,,     260,,  773755,,  475700,,  298055,
"Income of individuals in 2015","      $90;000 to $99;999",,     525,,     265,,     260,,  623980,,  382330,,  241650,
"Income of individuals in 2015","      $100;000 and over",,    1230,,     830,,     395,, 1775030,, 1313385,,  461645,
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 100% data",34,   15575,,,...,,...,14072080,,,...,,...
"Income of households in 2015","  Median total income of households in 2015 ($)",,   56027,,,...,,...,   70336,,,...,,...
"Income of households in 2015","  Median after-tax income of households in 2015 ($)",,   51172,,,...,,...,   61348,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 100% data",,    4065,,,...,,..., 3969790,,,...,,...
"Income of households in 2015","      Median total income of one-person households in 2015 ($)",,   23957,,,...,,...,   35174,,,...,,...
"Income of households in 2015","      Median after-tax income of one-person households in 2015 ($)",,   23133,,,...,,...,   31446,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 100% data",,   11510,,,...,,...,10102290,,,...,,...
"Income of households in 2015","      Median total income of two-or-more-person households in 2015 ($)",,   69403,,,...,,...,   88249,,,...,,...
"Income of households in 2015","      Median after-tax income of two-or-more-person households in 2015 ($)",,   63315,,,...,,...,   76419,,,...,,...
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 25% sample data",35,   15605,,,...,,...,14072075,,,...,,...
"Income of households in 2015","  Average total income of households in 2015 ($)",,   76640,,,...,,...,   92764,,,...,,...
"Income of households in 2015","  Average after-tax income of households in 2015 ($)",,   65585,,,...,,...,   76171,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 25% sample data",,    3990,,,...,,..., 3967765,,,...,,...
"Income of households in 2015","      Average total income of one-person households in 2015 ($)",,   38289,,,...,,...,   46799,,,...,,...
"Income of households in 2015","      Average after-tax income of one-person households in 2015 ($)",,   32931,,,...,,...,   38685,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data",,   11615,,,...,,...,10104315,,,...,,...
"Income of households in 2015","      Average total income of two-or-more-person households in 2015 ($)",,   89819,,,...,,...,  110813,,,...,,...
"Income of households in 2015","      Average after-tax income of two-or-more-person households in 2015 ($)",,   76807,,,...,,...,   90890,,,...,,...
"Income of households in 2015","Total - Household total income groups in 2015 for private households - 100% data",36,   15575,,,...,,...,14072075,,,...,,...
"Income of households in 2015","  Under $5;000",,     360,,,...,,...,  228790,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,     280,,,...,,...,  200315,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,     495,,,...,,...,  374575,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,    1210,,,...,,...,  565940,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,     820,,,...,,...,  602800,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,     900,,,...,,...,  538710,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,     805,,,...,,...,  603480,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,     745,,,...,,...,  606600,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,     695,,,...,,...,  596110,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,     730,,,...,,...,  578325,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,    1240,,,...,,..., 1097345,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,    1105,,,...,,..., 1010415,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,     950,,,...,,...,  924320,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,     850,,,...,,...,  836765,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,     735,,,...,,...,  745655,,,...,,...
"Income of households in 2015","  $100;000 and over",,    3665,,,...,,..., 4561920,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,    1260,,,...,,..., 1470255,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,     755,,,...,,..., 1016245,,,...,,...
"Income of households in 2015","    $150;000 to $199;999",,     895,,,...,,..., 1116140,,,...,,...
"Income of households in 2015","    $200;000 and over",,     750,,,...,,...,  959285,,,...,,...
"Income of households in 2015","Total - Household after-tax income groups in 2015 for private households - 100% data",32,   15575,,,...,,...,14072075,,,...,,...
"Income of households in 2015","  Under $5;000",,     380,,,...,,...,  243780,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,     285,,,...,,...,  203865,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,     495,,,...,,...,  380680,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,    1235,,,...,,...,  591660,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,     890,,,...,,...,  673740,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,     940,,,...,,...,  628225,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,     875,,,...,,...,  719825,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,     855,,,...,,...,  725675,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,     875,,,...,,...,  711180,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,     775,,,...,,...,  691695,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,    1395,,,...,,..., 1299680,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,    1200,,,...,,..., 1169515,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,    1085,,,...,,..., 1041635,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,     890,,,...,,...,  900055,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,     680,,,...,,...,  757295,,,...,,...
"Income of households in 2015","  $100;000 and over",,    2735,,,...,,..., 3333575,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,    1065,,,...,,..., 1371945,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,     690,,,...,,...,  809540,,,...,,...
"Income of households in 2015","    $150;000 and over",,     985,,,...,,..., 1152090,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 100% data",37,   11030,,,...,,..., 9688845,,,...,,...
"Income of economic families in 2015","  Median total income of economic families in 2015 ($)",,   66549,,,...,,...,   88306,,,...,,...
"Income of economic families in 2015","  Median after-tax income of economic families in 2015 ($)",,   60776,,,...,,...,   76372,,,...,,...
"Income of economic families in 2015","  Average family size of economic families",,      3.1,,,...,,...,      3.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data",,    3240,,,...,,..., 3706220,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families without children or other relatives in 2015 ($)",,   57179,,,...,,...,   78976,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families without children or other relatives in 2015 ($)",,   52174,,,...,,...,   68309,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families without children or other relatives",,      2.0,,,...,,...,      2.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 100% data",,    5040,,,...,,..., 4222140,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families with children in 2015 ($)",,   83092,,,...,,...,  113465,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families with children in 2015 ($)",,   75061,,,...,,...,   96608,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families with children",,      4.0,,,...,,...,      4.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data",,    2270,,,...,,..., 1481410,,,...,,...
"Income of economic families in 2015","  Median total income of lone-parent economic families in 2015 ($)",,   47360,,,...,,...,   53193,,,...,,...
"Income of economic families in 2015","  Median after-tax income of lone-parent economic families in 2015 ($)",,   44487,,,...,,...,   48856,,,...,,...
"Income of economic families in 2015","  Average family size of lone-parent economic families",,      2.6,,,...,,...,      2.7,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 25% sample data",38,   11075,,,...,,..., 9689855,,,...,,...
"Income of economic families in 2015","  Average total income of economic families in 2015 ($)",,   88284,,,...,,...,  111235,,,...,,...
"Income of economic families in 2015","  Average after-tax income of economic families in 2015 ($)",,   75233,,,...,,...,   91040,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data",,    3205,,,...,,..., 3706400,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families without children or other relatives in 2015 ($)",,   80080,,,...,,...,  101086,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families without children or other relatives in 2015 ($)",,   67155,,,...,,...,   82296,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data",,    5160,,,...,,..., 4225855,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families with children in 2015 ($)",,  105952,,,...,,...,  137094,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families with children in 2015 ($)",,   89795,,,...,,...,  111307,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data",,    2210,,,...,,..., 1477190,,,...,,...
"Income of economic families in 2015","  Average total income of lone-parent economic families in 2015 ($)",,   59709,,,...,,...,   65549,,,...,,...
"Income of economic families in 2015","  Average after-tax income of lone-parent economic families in 2015 ($)",,   53151,,,...,,...,   56687,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data",21,    6625,,    2665,,    3970,, 5313545,, 2608845,, 2704705,
"Income of economic families in 2015","  Median total income in 2015 for persons aged 15 years and over not in economic families ($)",39,   22400,,   21920,,   22622,,   31890,,   34483,,   29801,
"Income of economic families in 2015","  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",39,   21656,,   21082,,   21946,,   28959,,   30746,,   27495,
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data",40,    6595,,    2700,,    3900,, 5299050,, 2596985,, 2702070,
"Income of economic families in 2015","  Average total income in 2015 for persons aged 15 years and over not in economic families ($)",41,   33082,,   33028,,   33119,,   42939,,   46085,,   39915,
"Income of economic families in 2015","  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",41,   28841,,   28261,,   29243,,   35801,,   37724,,   33952,
"Income of economic families in 2015","Total - Economic family income decile group for the population in private households - 100% data",42,   40350,,   18795,,   21555,,34460065,,16971550,,17488515,
"Income of economic families in 2015","  In the bottom half of the distribution",,   26050,,   11870,,   14180,,17229835,, 8256970,, 8972865,
"Income of economic families in 2015","    In the bottom decile",,    6900,,    3170,,    3730,, 3445950,, 1672900,, 1773050,
"Income of economic families in 2015","    In the second decile",,    6100,,    2710,,    3385,, 3445660,, 1564965,, 1880700,
"Income of economic families in 2015","    In the third decile",,    5030,,    2295,,    2740,, 3446165,, 1641930,, 1804235,
"Income of economic families in 2015","    In the fourth decile",,    4245,,    1910,,    2335,, 3445850,, 1677120,, 1768730,
"Income of economic families in 2015","    In the fifth decile",,    3775,,    1785,,    1990,, 3446210,, 1700060,, 1746150,
"Income of economic families in 2015","  In the top half of the distribution",,   14295,,    6925,,    7370,,17230230,, 8714580,, 8515650,
"Income of economic families in 2015","    In the sixth decile",,    3275,,    1535,,    1740,, 3445695,, 1716510,, 1729185,
"Income of economic families in 2015","    In the seventh decile",,    2940,,    1405,,    1535,, 3446470,, 1730975,, 1715500,
"Income of economic families in 2015","    In the eighth decile",,    2610,,    1285,,    1320,, 3445940,, 1741640,, 1704300,
"Income of economic families in 2015","    In the ninth decile",,    2635,,    1270,,    1365,, 3446045,, 1751850,, 1694195,
"Income of economic families in 2015","    In the top decile",,    2840,,    1430,,    1415,, 3446080,, 1773600,, 1672475,
"Low income in 2015","Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data",43,   40345,,   18795,,   21550,,33968295,,16724265,,17244035,
"Low income in 2015","  0 to 17 years",,    6650,,    3455,,    3195,, 6836380,, 3504250,, 3332125,
"Low income in 2015","    0 to 5 years",,    2210,,    1155,,    1055,, 2228770,, 1142505,, 1086270,
"Low income in 2015","  18 to 64 years",,   26050,,   12200,,   13850,,21695090,,10690090,,11005005,
"Low income in 2015","  65 years and over",,    7640,,    3140,,    4505,, 5436830,, 2529930,, 2906905,
